行號,原文,原文長度,重點整理,處理時間,原始_20到50字的簡述(chatgpt-5),原始_全段主題,原始_總主題,原始_Unnamed: 4
11,曾柏瑜：我覺得要釐清一下，因為這邊講這個研究助理就是撰寫IRM的人，因為在國際上面IRM是由OGP的大會來派發的，也不是派發，就是他們會聘請一個人來確保這整個程序是符合OGP的標準，那因為我們不是OGP的會員，所以才變成我們必須聘一個獨立的IRM。這個人並不負責任何庶務性的工作，他並不是助理，他就是來觀察大家開會的狀況，並紀錄這一切是不是符合這個程序。那他寫出來報告裡面當然包含我們如何執行、我們如何討論、立法院內部各黨團之間的狀況是怎麼樣，以及民間委員態度是如何，類似這樣子的東西。比較不會有機會作出很強烈批判，畢竟他是兩邊共同聘請的，可是他也是有機會作出這樣批判的狀況，因為過去在國際上IRM，其他國家在做OGP的方案，action plan的cycle裡面也的確出現IRM的撰寫人給予非常嚴厲地批評的狀況。所以我想先澄清一下，我同意剛剛幾位的發言，我覺得庶務性工作是不是一樣是由立法院來支應，但是IRM這個聘請的人，聘請的經費要由這個民主基金會執行這件事情，我的確也同意彭教授的說法，因為畢竟民主基金會董事長也是院長的這件事情，我的確我還不是很確定我要怎麼想，就是它到底算是民間的基金會嗎？這樣子。,503,"## 會議記錄整理

### 核心要點  
1. 聘請IRM的性質與角色釐清 — IRM並非研究助理，而是由民主基金會聘請的獨立觀察者，負責記錄會議程序是否符合OGP標準，內容包含討論過程、黨團互動與民間委員態度，具備批判性但受限於雙方共同聘請的中立性。  
2. 費用與獨立性爭議 — IRM的聘請經費應由民主基金會承擔，但因該基金會董事長為院長，引發其是否屬真正民間獨立機構的疑問，需進一步釐清其資格與透明度。

### 決策事項  
- 未明確決議是否由民主基金會承擔IRM聘請經費，仍待進一步討論與確認。

### 行動項目  
- 明確界定IRM的角色與報告內容範圍，並釐清其與研究助理的差異。  
- 對民主基金會的獨立性進行公開說明與檢視，以確保聘請過程符合程序正當性。

### 總結  
會議聚焦於釐清IRM的獨立性與聘請經費來源，並對民主基金會的民間性質提出疑問，強調需確保程序透明與中立。",2025-09-12 00:26:55,曾柏瑜澄清IRM聘任人員角色，強調其獨立性與監督性，不負責庶務；建議庶務費用由立法院支應，IRM聘任則由民主基金會支持，但對其是否真正屬於民間仍存疑。,,,
12,"侯宜秀：關於這些花費的事情，我們是不是先共筆一個預算表，這個應該是比較基礎的事，所以是不是這個禮拜就提一個預算表出來。因為公私協力的基礎架構就是每個人都有不同的分工，每個委員或是每個單位就自己的分工來看實際上有沒有需要，除了貢獻人力之外，還有哪些需要花錢的部分，大家想一下，然後把它寫進來。我覺得盤點之後會比較知道我們到底缺什麼資源，就算我們去申請一個計畫，這個公私協力的計畫大部分還是立法院在支持，包括從籌備到現在，舉凡場地、人力以及工作人員，其實立法院已經花了很多錢，只是看不到而已。我覺得後面實際上還需要再花費的，比如聘請外面的委員或聘一個獨立觀察者，我覺得這些事情就是要盤點出來，包括幾個人、月，要細到這個程度，我們才有辦法去估算缺多少錢，然後需要到哪裡找錢。
主席（林委員昶佐）：我稍微歸納一下，平常我們開會需要的這些費用，我覺得這一塊跟IRM需要的費用，可能還是要把它分開。那IRM的部分，我想就像剛才講的，我們現在是希望11月底以後就開始撰寫，所以這個研究員想必在那之前就要進來，只是客觀的狀態是它完全是為了研究這個東西所申請的經費，還是怎麼樣，原則上還是要請民間委員這邊確認一下。",498,"## 會議記錄整理

### 核心要點  
1. 建議立即共筆制定公私協力預算表 - 明確各單位與委員在人力、場地、外聘觀察者等項目上的實際需求，以精確盤點資源缺口，為後續申請經費提供依據。  
2. 区分開會與IRM研究經費需求 - 強調IRM研究經費屬研究性質，需由民間委員確認其申請依據，並規劃11月底前完成研究員進場準備。

### 決策事項  
- 未明確決議，僅提出建議與分工方向。

### 行動項目  
- 侯宜秀：於本週內提出公私協力預算表草案，由各單位與委員填報實際需求（含人力、外聘、場地等）。  
- 林昶佐：確認IRM研究經費之申請性質，並與民間委員協調研究員進場時間與經費依據。

### 總結  
會議聚焦於建立公私協力預算基礎與釐清IRM研究經費的申請原則，強調需具體盤點資源需求以支持後續計畫申請。",2025-09-12 00:27:09,侯宜秀建議先共筆詳細預算表，盤點人力與費用需求，再決定資金來源；林昶佐總結會議費用與IRM費用應分開處理，IRM研究員需於11月底前進駐，經費來源待民間確認。,,,
13,我記得當初公督盟有承接這件事情後續的一些規劃，可能跟大家consult以後確認，如果要申請哪一些費用等等的，大家可以互相協助，包括像民主基金會等等，我們應該可以一起來協助這些申請的工作，但可能時間上要抓一下。另外，就是平常開會的部分，我覺得平常召開會議需要的庶務費用，我們工作小組真的要來列一下預算。今年的話，我跟洪顧問會去找一些目前現有的，像洪顧問會去找秘書長，以目前有的部分來支應，包括手譯、翻譯等費用，這些平常開會需要的一些費用支出。但明年開始之後，可能就要進入剛才說的公私協力規劃，可能有一半再用什麼樣的計畫去申請，可能就不太適合跟IRM包在一起。我剛才這樣聽下來，我覺得放在一起反而會有點混亂，它到底算不算在同一個會議的計畫裡面，這會有一點複雜，所以可能還是切開，然後平常開會所需要的費用，我們把它列下來以後，我覺得就抓一個禮拜，我們工作小組來編一下預算表，然後這一個禮拜列出來以後，可能就丟到所有委員的Slack頻道上面來確定，大家看有沒有漏掉什麼。民主基金會明年的計畫好像是9月底之前要丟出去，原則上這就是工作小組的事，給大家看了以後，沒有問題的話，我們就來分，那些是一人一半，還是平常立法院就已經支出一些費用了,513,"## 會議記錄整理

### 核心要點  
1. 平常開會所需庶務費用應由工作小組編列預算，並於一周內完成預算表，提交至委員Slack頻道徵求意見——確保費用項目完整、透明，避免遗漏。  
2. 明年開會費用應與民主基金會計畫分開規劃，不宜與IRM計畫混併，建議切開處理以避免計畫重疊與管理混亂，並依實際情況分配支出責任。

### 決策事項  
- 確定平常開會庶務費用（如手譯、翻譯）應獨立列項，不與IRM計畫合併。

### 行動項目  
- 工作小組於一週內編製開會庶務費用預算表，並上傳至委員Slack頻道徵求意見。  
- 明確釐清明年開會費用與民主基金會計畫的分界，並於9月底前完成費用分攤方案。

### 總結  
會議決議將開會庶務費用獨立規劃，並推動預算透明化與分項管理，避免與其他計畫混併導致管理混亂。",2025-09-12 00:27:22,林昶佐建議庶務費用與IRM經費切開處理；今年由秘書處支應，明年依公私協力規劃，工作小組一週內編列預算表並於Slack確認，9月底前送出申請案。,,,
14,"所以衍生的一些會議費用，民間就多分一些，我們到時候再來討論。但原則上我想這些費用可能不會像IRM的費用那麼多才對，所以我們就一個禮拜之內確定預算表，然後原則上9月底前工作小組就把這個計畫寫一寫，但是如果我們決定一人一半的話，另外那一半就是民間的委員要想看看怎麼申請。
主席（洪顧問慈庸）：應該是說IRM如果要對外申請，那就一定是民間來主導，就不會是工作小組，這必須要講得很清楚。
主席（林委員昶佐）：我再講清楚，就是IRM部分，因為我們之前的分工確定下來是公督盟會去負責這件事，還有誰？那時候好像有三個委員還是兩個委員負責這件事，我現在只看到君陽一個人一直點頭，然後其他的所有的民間委員沒有任何的……，我懶得去翻會議紀錄了，大家還記得嗎？有阿端，好，總之我記得是三個民間委員，對不對？就是去規劃後續IRM的事情，因為我們也不是OGP的會員國，所以有三位民間委員當初認領這件事情，這個部分就要確定，包括明年編列的這些預算會是由民間委員來負責，講的就是我們日常開會的這些庶務事情的規劃和預算的規劃。
曾柏瑜：關於IRM的經費由民間全部負責這件事情，我想釐清一下，我們當時之所以提議IRM的經費由政府，就是立院出一半，民間出一半的原因",514,"## 會議記錄整理

### 核心要點  
1. IRM經費由民間委員主導負擔，未來預算規劃與日常庶務由民間委員團隊負責 — 明確分工，強調民間主導地位，並需釐清經費分擔機制。  
2. 工作小組須於9月底前完成計畫書草稿，並在一個禮拜內確定預算表 — 設定具體時間表與成果目標，強化執行時程。

### 決策事項  
- IRM對外申請由民間主導，工作小組不參與主責，經費由民間委員團隊負責規劃與申請。

### 行動項目  
- 民間委員需確認三人團隊（含阿端、君陽等）是否仍承擔IRM規劃責任，並釐清經費分擔原意與現行安排。  
- 工作小組於9月底前完成計畫書初稿，並在一周內提出預算表。

### 總結  
本次會議明確IRMD經費由民間主導負擔，並確立民間委員團隊負責規劃與預算，同時設定9月底前完成計畫書與預算表的執行時程。",2025-09-12 00:27:35,會議決議庶務費用由工作小組編列預算，IRM經費則由民間主導申請；但曾柏瑜重申，原本規劃是立院與民間各自分攤一半，以確保公平與合理性。,,,
15,"是因為經費如果由民間全部出的話，那就跟影子報告沒有任何的差別。對，影子報告，因為在其他國家是OGP派一個IRM來做這個，民間也會找比如說第三方的民間團體來做一個，所以他會有一個是OGP派來的，跟當地的民間團體自己出的。如果今天我們臺灣因為不是OGP會員國，因此這個IRM的報告就由民間全部自己出，那就跟所謂的影子報告沒有區別了，所以當時我們才會說為了要作出跟影子報告的區別，這個所謂的IRM是不是應該立院出一半，民間出一半，來弄一個新的制度，當時是因為這個原因。
吳銘軒：我再補充一下，那個時候還有說，如果國發會那邊通過的話，乾脆就包在一起做，就是三三四。
主席（洪顧問慈庸）：因為現在國發會的進度……
吳銘軒：三三四的意思就是30%，其實也不是三三四，就是比方說33%、33%和34%，然後民間多出1%。理想上是啊！就是不是民間團體自己去寫，政府當然要寫自己的，那是避不了的，但是民間團體這邊不用寫，但是我們一起籌一筆錢，然後找一個研究單位。不過如果時間很趕的話，可能君陽要先去問問看有興趣的老師。
主席（林委員昶佐）：這樣民主基金會的補助到底算官方補助還是民間？
吳銘軒：這個大家可以討論一下，對不起我要提醒一下，民主基金會應該是一個民間組織一年只能申請一次",531,"## 會議記錄整理

### 核心要點  
1. 建議由立法院與民間各出半數經費（如33%與33%加34%），以區別於純民間自費的「影子報告」，建立具政府參與的IRMs新制度 — 簡要說明：為避免報告內容與民間自費影子報告無異，需透過政府與民間共擔經費，形成制度性差異，強化報告的公信力與政府主導性。  
2. 民間補助性質（如民主基金會）應明確界定為民間支持，非官方補助，並限制每年僅可申請一次 — 簡要說明：為確保資金來源透明與避免混淆官方角色，需釐清民主基金會補助屬民間性質，且須遵守申請頻率限制。

### 決策事項  
- 未明確決議是否採行「政府與民間各出一半經費」之三三四模式，僅提出作為制度區別之建議。

### 行動項目  
- 吳銘軒將向君陽確認是否有研究單位願意承接IRMs報告，並評估時間可行性。  
- 會議中提出需進一步討論「民主基金會補助」是否屬官方補助，以釐清資金性質。

### 總結  
本會議聚焦於如何透過政府與民間共擔經費，建立具區隔性的IRMs報告制度，並釐清民間補助的性質與申請規範。",2025-09-12 00:27:52,曾柏瑜強調若全由民間負擔，IRM將淪為影子報告，故應立院與民間各半；吳銘軒補充曾討論「三三四」分攤模式，並提醒民主基金會屬民間資源且一年僅能申請一次。,「會議決議：庶務專表9月底前完成，IRM經費待與唐鳳會談後確定」,,
16,"所以如果是公督盟要的話，其實就會吃掉公督盟自己的quota。
主席（洪顧問慈庸）：我先講一下，我意識到剛剛君陽講的是立法院要自己做一份，所以立法院必須派自己的人力去做，所以等於說現在在國發會那邊還沒有一個方向的時候，我們要自己做自己的事情，就是立法院這邊自己編列一個人力去做立法院的，民間這邊你們編列一個人力做民間的，現在只能這樣子，因為我們目前不知道國發會什麼時候才要做。我們現在應該要有兩個方案，一個是他們不進來的時候我們要怎麼走？一個是他們進來的時候我們要怎麼走？
吳銘軒：剛剛阿Fi解釋的意思就是說，這個分別其實不是在於國發會要不要進來，而是在於我們怎麼想像這個報告，如果是一個民間意見為主的報告，那就是民間另外開一個會，不用在這裡，我們就另外討論我們要怎麼處理這個事情，就把它結束了；但如果我們覺得它應該是一個獨立的審查，既不是偏民間的意見，也不是偏政府意見的話，才會有剛剛說的各出一半的問題，如果國發會要加進來的話，那就各出三分之一，大概是這樣的意思。佩蔚，理解嗎??
黃佩蔚：我有理解，但是我只想要提兩個問題，這可能要實際在討論的時候才會知道的，就是剛才我們講的很多單位可以進行申請經費",500,"## 會議記錄整理

### 核心要點  
1. 立法院需自行規劃人力編列，分兩種情境應對國發會是否介入：若國發會不進來，則民間另開會處理；若國發會進來，則報告應獨立審查，由立法院與民間各出一半（或國發會加入後各出三分之一）——此為報告架構與責任分擔的關鍵決策。  
2. 報告性質決定分工模式：若以民間意見為主，則民間獨立申請經費、另開會處理；若為中立獨立審查，則需建立三方共擔的分工機制，並明確界定各單位參與角色與經費負擔。

### 決策事項  
- 報告的性質（民間主導或中立獨立）將決定是否需國發會參與及人力與經費的分配方式。

### 行動項目  
- 明確界定報告架構與主導性質，並規劃兩種情境下的應對方案（國發會不進來 vs. 進來）。  
- 該方案需進一步討論並釐清各單位申請經費的流程與條件。

### 總結  
本次會議確立報告應依性質分兩種路徑處理，並強調需在國發會是否參與前，先明確分工與經費責任，以建立彈性且可執行的應對機制。",2025-09-12 00:28:08,洪顧問指出立法院與民間需各自獨立編列人力撰寫報告，並規劃國發會參與與否的兩套方案；吳銘軒則說明若報告為獨立審查，應由雙方各出一半，若國發會加入則三方各出三分之一。,,,
17,"就是誰給我錢跟誰去拿錢，還有我們要花什麼錢，所以這三個是不是需要一個分別？因為到時候作帳核銷一定是一件事，可能要專款專用，還是說可以怎麼做？那個錢是誰申請的，那它就專門只for某一件事情，這樣也許在核銷或是預算方面看錢的時候會比較清楚。這是第一點。
第二點是我剛才也請教過老師，就是科技部也是一個拿錢的方向，因為我知道這裡面有一個識讀和教育的塊面，它其實就滿適合去走這個路線的。這部分也請參考進來。
主席（林委員昶佐）：這個議題不太適合聊太久，因為今天的重點還是「一」跟「三」，所以「二」和「四」的部分一個就是平常需要開的會議所衍生的費用，包括翻譯、手譯等等，這些應該是由工作小組寫出專表，然後規劃用什麼樣的方式去申請，不管是民主基金會或是其他相關的單位，因為這可能會有一半是立法院出，另外一半還是要民間出，民間的部分我想還是要提出一些適合的計畫去申請補助，或是如果大家覺得民間所有的單位看起來好像滿少的，一除下來每個單位才出多少錢就可以了，那也是可以的，反正就先把它列出來，儘量在9月底以前就把該申請的案子送出去。
至於IRM的部分，我目前不是那麼確定國發會的進度，這一、兩個禮拜我其實有約去跟唐鳳那裡再談一下",506,"## 會議記錄整理

### 核心要點  
1. 釐清「誰給錢、誰拿錢、花什麼錢」三項關鍵，推動專款專用與明確預算歸屬，以提升帳務核銷透明度與管理效率。  
2. 探討科技部識讀與教育領域作為補助來源，並建議納入計畫方向，作為未來申請資金的參考依據。

### 決策事項  
- 未明確決策，僅提出方向性建議（如科技部識讀與教育塊面可作為申請路徑）。

### 行動項目  
- 工作小組於9月底前完成會議相關費用（如翻譯、手譯）的專項申請計畫表，並提出申請對象與方式（含民主基金會或其他單位）。  
- 主席將於一至兩週內與國發會及唐鳳進一步溝通IRM進度，掌握補助實際進度。

### 總結  
會議聚焦於資金來源、使用對象與支出項目之明確化，並規劃相關費用申請與科技部資源的整合應用。",2025-09-12 00:28:20,黃佩蔚提醒資金應專款專用並釐清核銷流程，並建議科技部也是可能的經費來源；林昶佐總結，庶務費用由工作小組列專表，9月底前完成申請，IRM部分則待與唐鳳會談後再決定方向。,,,
18,"但是我也不太確定現在國發會的想法、政委的想法，以及行政院方面的相關進度如何，但是我會去跟他確認。
我想像的應該比較像是剛才阿端提到的，就是這可能還是一人出一半，因為如果它是一個完全獨立的報告，可能就是我們這邊不管官方或民間一人出一半。既然如此，是不是請君陽和阿端回去想一下，我們現在的原則基本上是一個全獨立的報告，所以我們一人出一半，國發會如果可以參與進來，變成各三分之一的話，可能可以怎麼處理？包括剛才其實阿端也有提到，一個單位只能申請同一個政府部門或基金會，譬如民主基金會的補助，而且一年一次而已，如果有這種限制的話，可能這些都要一起納入考量。
吳銘軒：我只是想確定一下這是不是大家的共識，就是我們期待的是一個獨立的報告，還是我們期待的是一個從民間意見出發的報告？其實兩個都可以，並沒有不行，但是我覺得我們應該發表一下意見，看大家比較favor哪一個。
趙恭岳：因為大家在討論IRM的性質，其實從OGP來看，IRM的性質和國家的開放政策本來就是平行獨立的，不一定要跟它in line，所以我覺得第一個，性質上它應該回到前面談的，它是一個比較偏向獨立調查的報告。如果以這個部分來看，在經費的分攤上我覺得以目前在委員會這邊的部分一半、一半，",520,"## 會議記錄整理

### 核心要點  
1. 報告性質應定為「獨立調查報告」而非「民間意見出發」——基於OGP架構與IRM的本質，應強調其獨立性，並建議由國發會、行政院與民間單位各負三分之一經費，形成三方共擔的模式。  
2. 經費分攤與申請限制需明確規範——單位不得同時申請同一政府部門或基金會補助，且每年僅能申請一次，此規範應納入整體規劃考量中。

### 決策事項  
- 確認為IRM報告性質應為「獨立調查報告」，並以「三方分攤經費」（國發會、行政院、民間各三分之一）作為經費分攤原則。

### 行動項目  
- 請君陽與阿端回覆並提出「獨立報告」在實務操作上的可行性與執行模式，含經費分攤與申請限制的具體規劃。  
- 該規劃應納入未來報告申請的政策與流程設計中，並確認是否符合民主基金會補助之年度與單位限制。

### 總結  
本次會議確認IRM報告應具獨立性，並提出三方共擔經費與申請限制的原則，以確保報告的中立性與執行可行性。",2025-09-12 00:28:38,林昶佐建議IRM報告原則為獨立，由官方與民間各出一半，若國發會加入則三方分攤；吳銘軒提問是否共識為獨立報告，趙恭岳則支持獨立調查定位並維持一半一半分擔。,,,
19,"可能相對來講會比國發會的經費再涉入更恰當一些。以上是從它的性質上面來看，因為我覺得國發會本身是開放政府或開放資料的相關主責單位，它有自己的國家政策，涉入經費分攤可能會有一些疑義。以上跟大家分享。
吳銘軒：我想釐清一下，之所以覺得如果國發會要的話就一起來的原因是因為到時候只會有一份「開放政府/開放國會」的報告，也就是同一份，但是如果我們把它分開來的話，當然就是兩件無關的事情，所以這是不是請Freddy之後再去多討論？但是如果大家今天沒有反對，那我們就走獨立報告這條路，剩下的三分之一就是民間這邊看我們用什麼方式來籌嘛。好不好？就是看看60萬元的三分之一……
彭啟明：我會覺得國發會是政府，然後立法院、民間，但是如果按照這個邏輯，民間那個三分之一就不要去找民主基金會，這樣會被講話，所以就大家想辦法募，但是如果可以的話，預算還是要先弄出來。
吳銘軒：針對報告的部分可不可以請君陽先找一下，就是可能可以協助的研究單位或是做這個研究的學者或是什麼的，然後先請他們估一下如果是6個月的計畫，大概是多少錢，之後我們再來看這個分攤的部分。但分攤的部分我想應該不會是平分的，就是要看每個團體……",491,"## 會議記錄整理

### 核心要點  
1. 走獨立報告路線 – 為避免國發會與立法院報告重疊或產生經費分攤疑義，決議採「獨立報告」方式，將「開放政府」與「開放國會」分開辦理，並由民間團體自籌三分之一經費（約20萬元）。  
2. 經費估算與分攤機制 – 建議由君陽先蒐整合研究單位或學者對6個月計畫的預算估計，作為後續經費分攤與籌措的依據，且分攤不採平分，將依各團體性質與責任調整。

### 決策事項  
- 採行「獨立報告」模式，將開放政府與開放國會報告分開辦理，避免重複或權責衝突。

### 行動項目  
- 君陽負責蒐集並評估具備研究能力之單位或學者，針對6個月計畫提出經費預估報告。  
- 民間團體針對三分之一經費（約20萬元）擬定籌措方案，並於會後進一步討論可行性。

### 總結  
會議決議採獨立報告模式，並由民間團體自籌經費，同時推動研究單位預算估計以作為後續經費分攤依據。",2025-09-12 00:28:53,趙恭岳認為IRM應獨立，國發會涉入恐生疑；吳銘軒建議維持獨立報告，由民間籌三分之一經費；彭啟明提醒民間部分不宜申請民主基金會，應另籌款並先估計半年計畫費用。,,,
20,"侯宜秀：我想確認一下，所以現在君陽要規劃的是一個開放政府開放國會，他要找人寫的是這個嗎？
主席（林委員昶佐）：我覺得先不用政府，國會而已。
侯宜秀：只有國會嘛！那為什麼預算會混在一起？
主席（林委員昶佐）：應該沒有所謂三分之一的問題，應該是二分之一、二分之一。現在我們應該default就是開放國會，然後就是二分之一、二分之一，即國會跟民間二分之一，然後找一個獨立的研究員來做這個調查報告，看看是不是在兩個禮拜後的會議之前，由君陽這邊協助提供一個簡單的案子，如果會有任何的改變，就是除非我去找唐鳳政委討論以後，國發會也希望開放政府跟開放國會整體的報告變成同一個事情，如果有發生這樣事情的話，才會有剛剛講的，可能有這樣子的改變，要不然的話default就不是這樣，就是二分之一、二分之一。
主席（洪顧問慈庸）：那我做最後的確認，就是立法院不用自己產生一個嘛！對不對？
吳銘軒：要！
主席（林委員昶佐）：要！
主席（洪顧問慈庸）：還要喔！這樣立法院的工作有一點重複了。
耿璐：因為根據OGP的法規，立法院是實際執行的人，所以你們要自己寫一份工作報告，這比較像是工作評估報告，比如說無論是架設任何系統或做任何程序上的改變，其實都不可能是我們在這裡做",521,"## 會議記錄整理

### 核心要點  
1. 開放國會與民間各占二分之一，由獨立研究員進行調查並在兩週內提交報告——此為目前的預設方案（default），除非經與唐鳳政委討論後調整。  
2. 立法院需自行製作工作報告（類似工作評估報告），因符合OGP法規要求，實際執行責任在立法院，不得由其他單位完全代為規劃或撰寫。

### 決策事項  
- 會議決定以「開放國會與民間各占二分之一」為預設模式，並由獨立研究員進行調查，兩週內提交報告；若需調整，須經與唐鳳政委討論後決定。

### 行動項目  
- 君陽團隊需協助準備一個簡單案例，供會議前參考；  
- 立法院應自行完成工作報告（含系統架設或程序變更之評估），並由相關單位負責實際執行。

### 總結  
會議明確訂定開放國會與民間共擔半數責任的預設模式，並強調立法院須自主完成工作評估報告，以符合國際標準與實際執行責任。",2025-09-12 00:29:06,討論確認IRM報告以開放國會為主，由國會與民間各出一半並聘獨立研究員；同時立法院仍須撰寫自身工作報告。,"「IRM報告確立獨立性，國會與民間各半分擔」

「會議決議：院方自撰工作報告，另聘獨立研究員」",,
21,"所以就是立法院在做。所以你們必須自己寫自己的報告，然後IRM是獨立的，這就是OGP裡面一個必然的狀況。
田君陽：我建議一下，因為立法院法制局研究員本身除了一般對於行政院的法制做研究以外，我記得還有一些專題研究，所以看看能不能做一些妥適的安排，就是請他也一起參與或是如何，然後把他原本既有的工作予以納入，所以就是由法制局研究員本身去承接一部分立法院自己這邊的工作評估報告，所以我想問一下這樣做的可行性，因為其實它是有專題報告的空間，如果有一些適合的安排，我想這是一個很好的研究方向，而且他們自己本身在寫專題研究的時候，應該也會希望有一些合適的體材，然後是大家關心的，以上建議。
耿璐：關於立法院自己寫的工作報告，好像就沒有很嚴格的規範，說要寫成什麼樣的規模，所以我覺得你們一開始寫的時候其實也不用寫得很大或是很專精，或許就是先以工作紀錄或實際上發生的為主，我覺得這個彈性就還滿大的，只是實際執行的人還是要有一個東西出來，畢竟這就有點像成果報告、結案報告或工作報告。
主席（林委員昶佐）：一個就是立法院自己本來可能就會寫的工作報告、紀錄或是成果報告那樣的東西，然後另外一個是我們獨立聘請外面的調查員來做的",500,"## 會議記錄整理

### 核心要點  
1. 立法院應自主撰寫工作報告，並可結合法制局研究員既有專題研究，提升報告品質與相關性——此為具可行性之合作模式。  
2. 報告形式無嚴格規範，初期可依實際發生事項撰寫工作紀錄或成果報告，強調彈性與實務性，確保內容具備可操作性與關聯性。

### 決策事項  
- 未有明確決策內容。

### 行動項目  
- 考慮將法制局研究員之專題研究納入立法院工作報告撰寫，評估其可行性與合適性。  
- 建議初期以實際發生事項為主，撰寫工作紀錄或成果報告，作為報告起點。

### 總結  
會議確認立法院應自主撰寫工作報告，並提出結合內部研究資源與彈性撰寫形式的可行方案。",2025-09-12 00:29:17,田君陽建議由立法院法制局研究員承接部分工作評估報告；耿璐認為院方報告可彈性處理，以工作紀錄為主；林昶佐總結分為院方自寫報告與獨立聘請調查員兩部分。,,,
22,"即我們從開始一直到執行的一個審查報告，大概就是這樣的意思。
好，我們就進入一跟三。于顥，本來你是不是說要報告第一點？
好，我們請雨蒼大致先說明一下，然後我們就進到第三個來分門別類好了，所以先把第一個現在我們收集到的一些意見，這些已經全部都放到vTaiwan裡面，對不對？
林哲瑋：問卷的部分，成果已經放到Slack的slide上面，這部分需要再跟大家報告一次嗎？如果要的話，好，OK。可以幫我投影那份投影片嗎？我剛剛丟在Slack上面。
在場人員：現在有點困難。
林哲瑋：現在有點困難？
在場人員：對。
林哲瑋：好，我就口頭跟大家敘述一下，請大家直接在Slack上面把它打開來就可以了。
主席（林委員昶佐）：大家手上都有雨蒼在Slack上面剛剛丟的檔案。
主席（洪顧問慈庸）：請大家講話之前先報上自己的大名。
林哲瑋：好。
主席（洪顧問慈庸）：我們現在都有做逐字紀錄，因為我們的速記員都不認識大家，所以要麻煩大家，謝謝。
林哲瑋：我是雨蒼、林哲瑋，我來跟大家分享一下這個問卷結果。
在場人員：你把網址丟到聊天室。
林哲瑋：已經丟聊天室了。首先，我們這個問卷大概分4個部分，第一個部分是關於立法院的網站使用經驗分享，我們主要問的人大部分都是跟NGO工作比較相關的。",531,"## 會議記錄整理

### 核心要點  
1. 問卷結果已整理並上傳至Slack，內容涵蓋立法院網站使用經驗，主要針對NGO工作者群體 —— 重點在於資料已公開可查，並明確指出受訪對象與問卷結構。  
2. 會議強調需加強資訊透明與參與，要求成員主動在Slack中查看相關投影片，以確保資訊同步與有效溝通 —— 顯示團隊重視即時協作與資訊共享。

### 決策事項  
- 未明確形成決策。

### 行動項目  
- 林哲瑋（雨蒼）負責確認問卷結果在Slack中的可見性與使用情況，並協助在場人員確認投影片連結。  
- 所有與會者應主動於Slack中查閱並確認已接收相關問卷成果內容。

### 總結  
本次會議確認問卷結果已公開於Slack，並強調團隊需加強即時資訊共享與參與，以提升透明度與協作效率。",2025-09-12 00:29:28,會議進入意見回饋報告，林哲瑋分享問卷結果，重點在立法院網站使用經驗，主要受訪者多為NGO相關人員。,,,
23,"在工作上是不是使用立法院的網站？裡面有90%的人其實都會使用。再來是最常使用哪些功能呢？搜尋法案的紀錄是最多的，接下來是搜尋立委發言紀錄，另外則是立法院的影音、立法院紀錄、確認近期的議程，比較少的人會下載相關的資料做應用，行政部門、學者專家的報告也是相對比較多的。
接下來下一頁。這一頁是我剛才報告的部分，看來要花一點時間讀。
我繼續往下講。再來，立法院的網站要改善哪一部分，對立法院使用網站是最有助益的？請幫我跳到第7頁。請問在使用立法院網站方面，哪些是比較常見的困擾？最多的困擾其實是立法院的紀錄不容易用關鍵字來搜尋，第二高的是立法院各委員會的議程資料開放不足，然後是法案沒有單一的分享頁面，就是當他想要倡議的時候，沒有辦法有一個頁面可以讓大家來分享，接下來依序則是影音不容易搜尋、沒有呈現議題投票的界面、立委的資料不完整、影音播放軟體不容易使用等等。
再來，改善哪一部分對大家最有幫助？第一個是強化資料開放、用結構化的資料來開放，再來是釋出更多供公眾利用的資料，後面的部分則是提供關心法案的訂閱功能，看起來大家滿煩惱的是這個問題，在vTaiwan這個地方及現場其實都有收到類似的問題；",495,"## 會議記錄整理

### 核心要點  
1. 立法院網站最常使用的功能為搜尋法案與立委發言紀錄，其次為影音與議程確認；資料搜尋困難與開放不足是主要使用困擾。  
2. 公眾最期待的改善項目為強化資料結構化開放與建立法案分享頁面，並提供法案訂閱功能以提升使用便利性。

### 決策事項  
- 未明確做出決策，僅提出優先改善方向。

### 行動項目  
- 推動立法院網站資料結構化開放與議程、法案資訊的公開透明。  
- 建立法案專屬分享頁面與訂閱機制，提升公眾參與與資訊獲取效率。

### 總結  
本會議聚焦於立法院網站的使用行為與改善需求，強調資料開放與搜尋功能優化為關鍵優先方向。",2025-09-12 00:29:38,問卷結果顯示，多數受訪者常用立院網站查法案與發言紀錄，但困擾在於紀錄難以搜尋、委員會資料不足、缺乏法案分享頁面；建議強化資料開放並提供法案訂閱功能。,,,
